"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatioCount","BgRatioCount"
"abru00830","Metabolism","Metabolism of cofactors and vitamins","abru00830","Retinol metabolism - Argiope bruennichi (wasp spider)","7/780","44/3741",0.841252931556248,0.998814463203132,0.973181556143982,"129971563/129962090/129972418/129981840/129960878/129972558/129980816",7,7,44
"abru00730","Metabolism","Metabolism of cofactors and vitamins","abru00730","Thiamine metabolism - Argiope bruennichi (wasp spider)","2/780","15/3741",0.852120286948468,0.998814463203132,0.973181556143982,"129966968/129984091",2,2,15
"abru00650","Metabolism","Carbohydrate metabolism","abru00650","Butanoate metabolism - Argiope bruennichi (wasp spider)","9/780","56/3741",0.854953586780938,0.998814463203132,0.973181556143982,"129956880/129963621/129964270/129971204/129988491/129958580/129980938/129988684/129960815",9,9,56
"abru00565","Metabolism","Lipid metabolism","abru00565","Ether lipid metabolism - Argiope bruennichi (wasp spider)","6/780","40/3741",0.869470405486039,0.998814463203132,0.973181556143982,"129964141/129971619/129971362/129981142/129975169/129956969",6,6,40
"abru00190","Metabolism","Energy metabolism","abru00190","Oxidative phosphorylation - Argiope bruennichi (wasp spider)","17/780","101/3741",0.872855222760347,0.998814463203132,0.973181556143982,"129981144/129966754/129965800/129968639/129968154/129968593/129969138/129969433/129972976/129972821/129975896/129975872/129975945/129981692/129988509/129962664/129975967",17,17,101
"abru01230","Metabolism","Global and overview maps","abru01230","Biosynthesis of amino acids - Argiope bruennichi (wasp spider)","11/780","69/3741",0.880038890666532,0.998814463203132,0.973181556143982,"129968620/129964944/129957117/129966155/129966982/129984806/129988106/129957475/129956454/129958668/129958204",11,11,69
"abru03440","Genetic Information Processing","Replication and repair","abru03440","Homologous recombination - Argiope bruennichi (wasp spider)","5/780","35/3741",0.882999837947347,0.998814463203132,0.973181556143982,"129972941/129976379/129981311/129984264/129988318",5,5,35
"abru03050","Genetic Information Processing","Folding, sorting and degradation","abru03050","Proteasome - Argiope bruennichi (wasp spider)","6/780","41/3741",0.884543574867656,0.998814463203132,0.973181556143982,"129966826/129961709/129984133/129962713/129975688/129957280",6,6,41
"abru00100","Metabolism","Lipid metabolism","abru00100","Steroid biosynthesis - Argiope bruennichi (wasp spider)","2/780","18/3741",0.915175896890654,0.998814463203132,0.973181556143982,"129964000/129958063",2,2,18
"abru00860","Metabolism","Metabolism of cofactors and vitamins","abru00860","Porphyrin metabolism - Argiope bruennichi (wasp spider)","3/780","25/3741",0.918547589052909,0.998814463203132,0.973181556143982,"129963181/129960213/129965800",3,3,25
"abru04142","Cellular Processes","Transport and catabolism","abru04142","Lysosome - Argiope bruennichi (wasp spider)","33/780","195/3741",0.932971251789365,0.998814463203132,0.973181556143982,"129969179/129958941/129960213/129991590/129961831/129963156/129963465/129964053/129965743/129969368/129968625/129969083/129972617/129980494/129980496/129980563/129981008/129980885/129984475/129983765/129957411/129960204/129960922/129960065/129962412/129984304/129966985/129972896/129980564/129984049/129984031/129988031/129960439",33,33,195
"abru00601","Metabolism","Glycan biosynthesis and metabolism","abru00601","Glycosphingolipid biosynthesis - lacto and neolacto series - Argiope bruennichi (wasp spider)","1/780","12/3741",0.939829260961003,0.998814463203132,0.973181556143982,"129960647",1,1,12
"abru03020","Genetic Information Processing","Transcription","abru03020","RNA polymerase - Argiope bruennichi (wasp spider)","4/780","36/3741",0.959883076145518,0.998814463203132,0.973181556143982,"129987866/129961571/129968778/129975141",4,4,36
"abru01040","Metabolism","Lipid metabolism","abru01040","Biosynthesis of unsaturated fatty acids - Argiope bruennichi (wasp spider)","6/780","50/3741",0.965299327152875,0.998814463203132,0.973181556143982,"129981388/129977113/129966720/129965728/129956483/129984550",6,6,50
"abru00630","Metabolism","Carbohydrate metabolism","abru00630","Glyoxylate and dicarboxylate metabolism - Argiope bruennichi (wasp spider)","5/780","45/3741",0.972184827753113,0.998814463203132,0.973181556143982,"129969073/129968787/129983788/129960237/129959066",5,5,45
"abru00790","Metabolism","Metabolism of cofactors and vitamins","abru00790","Folate biosynthesis - Argiope bruennichi (wasp spider)","2/780","24/3741",0.973581829242783,0.998814463203132,0.973181556143982,"129965778/129976195",2,2,24
"abru01212","Metabolism","Global and overview maps","abru01212","Fatty acid metabolism - Argiope bruennichi (wasp spider)","11/780","85/3741",0.979395246280565,0.998814463203132,0.973181556143982,"129981388/129977113/129966720/129963778/129965728/129984183/129987896/129956483/129965457/129963777/129984550",11,11,85
"abru01210",NA,NA,"abru01210","2-Oxocarboxylic acid metabolism - Argiope bruennichi (wasp spider)","3/780","33/3741",0.979755903686409,0.998814463203132,0.973181556143982,"129966643/129971225/129984621",3,3,33
"abru00515","Metabolism","Glycan biosynthesis and metabolism","abru00515","Mannose type O-glycan biosynthesis - Argiope bruennichi (wasp spider)","1/780","17/3741",0.981401026850023,0.998814463203132,0.973181556143982,"129965557",1,1,17
"abru00563","Metabolism","Glycan biosynthesis and metabolism","abru00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Argiope bruennichi (wasp spider)","2/780","26/3741",0.982308719832477,0.998814463203132,0.973181556143982,"129987532/129987742",2,2,26
"abru03010","Genetic Information Processing","Translation","abru03010","Ribosome - Argiope bruennichi (wasp spider)","17/780","122/3741",0.982314270734923,0.998814463203132,0.973181556143982,"129988217/129977926/129963604/129968578/129971526/129971228/129971615/129980872/129985254/129988451/129957589/129963807/129975753/129984282/129984433/129988704/129957045",17,17,122
"abru03022","Genetic Information Processing","Transcription","abru03022","Basal transcription factors - Argiope bruennichi (wasp spider)","3/780","36/3741",0.988318635914563,0.998814463203132,0.973181556143982,"129960084/129962850/129972429",3,3,36
"abru03082","Genetic Information Processing","Chromosome","abru03082","ATP-dependent chromatin remodeling - Argiope bruennichi (wasp spider)","12/780","99/3741",0.992264189539902,0.998814463203132,0.973181556143982,"129981125/129965571/129966529/129968571/129968529/129968528/129976624/129983614/129988066/129956923/129957129/129958341",12,12,99
"abru00220","Metabolism","Amino acid metabolism","abru00220","Arginine biosynthesis - Argiope bruennichi (wasp spider)","1/780","21/3741",0.992738673234681,0.998814463203132,0.973181556143982,"129981040",1,1,21
"abru00280","Metabolism","Amino acid metabolism","abru00280","Valine, leucine and isoleucine degradation - Argiope bruennichi (wasp spider)","7/780","68/3741",0.993558784756393,0.998814463203132,0.973181556143982,"129956880/129963621/129964270/129966856/129971204/129984621/129988491",7,7,68
"abru04080","Environmental Information Processing","Signaling molecules and interaction","abru04080","Neuroactive ligand-receptor interaction - Argiope bruennichi (wasp spider)","16/780","127/3741",0.994888427167166,0.998814463203132,0.973181556143982,"129960455/129959154/129962415/129966046/129968964/129980643/129958100/129958974/129959480/129962894/129966561/129971128/129976606/129988712/129958827/129960267",16,16,127
"abru00062","Metabolism","Lipid metabolism","abru00062","Fatty acid elongation - Argiope bruennichi (wasp spider)","2/780","39/3741",0.998814463203132,0.998814463203132,0.973181556143982,"129956483/129984550",2,2,39
